#{"t_start": 1717770471.9942374, "env_id": "Marlin-v1"}
r,l,t
-180.432359,200,40795.027608
-179.377079,200,40870.382964
-180.32276,200,40947.869566
-184.385415,200,41029.678839
-176.244283,200,41103.089128
-184.732696,200,41176.895188
-178.761098,200,41254.265023
-178.149415,200,41329.031389
-178.619384,200,41403.895374
-185.429869,200,41476.952927
-179.058876,200,41555.317914
-180.018123,200,41628.91595
-182.927946,200,41702.779945
-180.361273,200,41775.606448
-181.753279,200,41853.656281
-183.98217,200,41925.442519
-182.266639,200,41998.721899
-181.845036,200,42077.52667
-183.158214,200,42152.761567
-182.595146,200,42225.544493
-179.230147,200,42298.331615
-185.041431,200,42376.413079
-179.811624,200,42453.346272
-175.054508,200,42527.49176
-184.277395,200,42599.803444
-185.336716,200,42672.409281
-182.233113,200,42745.56134
-182.290022,200,42817.769271
-175.974596,200,42893.997108
-182.259199,200,42966.688152
-177.73046,200,43041.871035
-178.853186,200,43117.647419
-183.600283,200,43189.998205
-176.345567,200,43267.032616
-178.456121,200,43339.103241
-180.939518,200,43414.059384
-179.717,200,43487.589021
-179.808981,200,43565.524599
-182.449212,200,43638.991827
-182.197226,200,43711.306192
-176.602691,200,43787.745445
-181.120872,200,43866.703955
-185.239934,200,43939.447323
-182.90348,200,44014.371408
-178.905937,200,44090.579294
-190.035968,200,44165.893178
-177.335659,200,44242.696515
-186.201494,200,44314.660182
-181.088309,200,44388.539114
-179.754163,200,45740.554185
-186.777631,200,45813.174801
-185.403345,200,45888.596695
-180.057953,200,45963.177313
-182.659926,200,46039.247026
-179.789419,200,46113.466824
-180.645928,200,46190.550604
-184.766407,200,46263.554411
-182.263408,200,46341.008703
-179.581431,200,46415.233437
-180.686355,200,46490.355163
-180.490559,200,46563.255425
-183.490745,200,46657.515817
-182.256675,200,46735.329554
-176.197492,200,46819.746637
-183.507143,200,46892.433558
-182.611073,200,46968.241675
-183.75721,200,47044.015345
-185.921246,200,47124.510176
-179.940827,200,47201.07046
-176.80259,200,47285.613371
-180.196302,200,47356.977199
-183.000034,200,47436.684428
-176.780222,200,47514.044873
-182.780992,200,47599.801206
-182.694594,200,47674.881129
-179.332397,200,47750.836226
-182.278461,200,47824.962246
-180.061786,200,47902.960575
-181.404376,200,47984.243158
-182.728685,200,48058.658845
-187.28106,200,48140.965791
-186.309023,200,48218.85961
-188.301275,200,48302.581839
-184.953599,200,48374.358536
-176.764756,200,48458.115186
-181.787604,200,48543.857895
-183.735862,200,48617.678935
-182.099255,200,48693.051254
-180.53456,200,48772.041667
-178.136908,200,48846.419337
-195.26889,200,48933.068048
-180.913906,200,49008.781312
-177.259964,200,49082.835983
-182.35654,200,49158.02062
-182.729078,200,49232.048311
-181.082267,200,49311.91469
-179.881292,200,49391.016381
-181.825455,200,49468.000541
-180.258252,200,49542.436724
-180.238628,200,50803.604248
-180.372838,200,50884.584884
-183.035364,200,50961.61278
-184.898421,200,51041.420646
-183.486712,200,51113.391523
-179.571439,200,51196.319223
-182.755435,200,51269.877667
-183.94192,200,51342.35936
-180.086206,200,51417.821344
-183.831694,200,51492.079144
-178.861724,200,51566.095848
-181.255632,200,51639.65332
-180.145236,200,51712.034801
-182.628063,200,51787.033241
-184.180199,200,51866.676939
-185.392433,200,51945.49459
-184.855341,200,52018.819638
-190.087123,200,52094.399093
-190.119969,200,52169.636678
-191.106517,200,52248.404909
-187.135812,200,52325.252703
-185.272607,200,52400.508647
-176.569004,200,52476.381071
-181.360183,200,52555.025899
-180.085742,200,52632.907635
-178.872531,200,52711.138755
-181.608694,200,52788.997365
-176.191546,200,52864.195448
-179.023137,200,52944.070588
-181.335612,200,53017.910124
-184.470876,200,53092.598863
-181.85691,200,53165.815958
-180.237258,200,53240.242475
-179.722867,200,53318.487669
-183.585678,200,53393.24296
-182.477069,200,53466.560197
-182.459011,200,53540.4585
-180.324263,200,53624.336911
-182.782391,200,53701.221719
-180.071513,200,53780.639263
-181.167434,200,53861.45938
-176.222764,200,53938.716338
-177.667933,200,54017.048076
-181.466403,200,54090.792524
-185.894678,200,54168.717943
-184.944128,200,54243.002016
-186.644188,200,54315.635421
-184.167609,200,54387.609433
-180.39903,200,54463.171421
-182.656534,200,54536.435077
-185.308313,200,55782.518414
-182.792699,200,55858.290428
-182.545816,200,55934.893248
-183.24373,200,56010.755549
-180.956859,200,56087.526773
-176.559918,200,56162.280383
-179.335661,200,56241.529675
-185.22882,200,56318.603812
-176.646659,200,56393.902999
-183.208539,200,56470.071409
-178.706687,200,56544.474161
-183.709642,200,56621.838869
-181.224535,200,56702.743408
-181.996098,200,56779.323939
-178.854519,200,56852.664034
-178.222786,200,56930.324588
-177.711254,200,57002.924387
-180.53609,200,57077.879452
-176.940992,200,57152.770625
-179.151262,200,57230.63324
-181.067008,200,57304.588943
-178.470651,200,57380.729907
-178.10583,200,57453.509925
-178.734455,200,57532.41828
-182.118093,200,57618.115075
-181.31197,200,57700.918776
-180.699651,200,57776.098037
-180.05351,200,57851.975315
-178.342144,200,57938.832874
-180.79264,200,58015.905368
-180.402311,200,58092.025544
-174.808191,200,58169.332964
-179.515589,200,58245.065399
-184.473652,200,58322.67099
-177.456062,200,58397.90879
-179.479531,200,58481.486635
-180.44121,200,58556.638818
-178.527084,200,58636.117178
-179.904066,200,58713.793123
-180.719279,200,58787.626987
-179.410804,200,58864.585974
-181.081742,200,58938.699536
-179.24703,200,59015.081707
-181.984192,200,59091.900435
-184.49277,200,59167.919262
-178.905006,200,59246.925061
-181.167111,200,59323.248111
-183.477778,200,59399.481687
-178.458039,200,59473.969384
-181.736384,200,59547.256025
-179.007767,200,60833.444376
-176.929256,200,60911.457517
-179.668316,200,60986.584653
-184.519512,200,61060.106915
-182.005928,200,61146.827244
-181.099299,200,61220.038997
-184.534876,200,61298.083677
-182.259875,200,61374.392349
-178.842816,200,61449.618541
-181.445502,200,61523.419828
-182.543521,200,61603.42985
-184.11423,200,61681.852726
-182.263197,200,61755.513566
-180.971805,200,61830.947793
-181.528287,200,61904.491349
-180.971271,200,61981.477106
-182.018988,200,62056.223493
-181.522749,200,62130.336421
-182.509806,200,62204.85097
-183.938922,200,62277.649771
-182.905845,200,62353.540386
-180.94717,200,62429.025093
-178.883288,200,62504.893216
-179.543457,200,62581.731566
-181.721089,200,62657.406774
-181.152731,200,62733.813833
-177.624879,200,62812.455466
-181.835117,200,62889.43003
-178.331421,200,62967.225471
-185.269753,200,63053.63505
-183.441213,200,63131.719543
-178.610058,200,63209.006796
-185.702354,200,63293.150305
-178.60423,200,63368.053259
-180.150137,200,63442.499113
-173.785074,200,63519.290505
-181.961832,200,63597.022003
-185.029236,200,63671.414685
-183.914989,200,63747.118096
-176.558746,200,63826.877977
-178.639187,200,63905.537432
-184.73358,200,63980.84314
-180.59747,200,64055.617753
-180.765422,200,64131.605103
-178.07126,200,64206.822765
-180.261319,200,64283.285743
-181.798832,200,64359.355533
-179.917796,200,64434.239249
-184.613175,200,64515.339839
-179.753415,200,64594.37036
-181.303436,200,65799.522208
-180.454294,200,65875.992233
-181.605514,200,65951.659609
-178.959247,200,66025.5071
-182.403286,200,66098.420918
-179.59985,200,66180.480632
-180.046442,200,66259.269738
-179.237297,200,66336.110122
-181.122821,200,66408.821621
-177.264074,200,66483.841225
-174.300608,200,66564.607225
-177.430144,200,66643.311286
-177.4322,200,66718.718729
-179.022507,200,66797.376033
-179.043616,200,66875.077868
-176.635484,200,66956.043241
